No;Fulltext;Status
219;@AhmadShiddiqN @yanwarakhman @colaVINsky @tanyarlfes Jangankan gencar . Jarang aja dibilang rezim *****.. bilang polnya cari duit . Trus ada ETilang. .. jg masih aja diprotes jd dah bner itu komentar percuma Alasan yg lebih tepat itu saat tes sim di tes jg kan soal rambu ? Nyatanya?;
220;@TMCPoldaMetro Bayangin tuh abu rokok terbang kena mata pengemudi motor di belakang nya.. careless banget.. etilang harus bisa capture lah..;
221;@yusufgunawan @infomalang @cityguide911fm @RRIMalang nah iya smpet mau bilang. knp semenjak lampu lalin nya di perbaiki tulisannya di ilangin dan ga dibalikin. alhasil kalo kita brenti yg belakangnya nge bel terus kalo ga brenti takut kena etilang;
222;@TMCPoldaMetro Kirim etilang ke pemotor biar ada efek jera semua jalan bebas mereka lawan arus bikin masyarakat khawatir keselamatan.;
223;@finallyweend @chikiballschiki ko masih ada tilang manual gt kakkk? bukannya udah diterapin etilang ya?;
224;@HumasPajakJkt gimana ya cara mengetahui terkena Etilang?. Saya harus bertanya kemana?. Minta infonya;
225;@im_yanuwar @hati2ditwiitter @Ieortz Iya betul memang sudah lama kak kalo belum zaman etilang ini sih patokannya kalo ada pengendara naik baru saya ikut naik hahaha emang nakal anaknya;
226;@rizalmans30 @txtdrjkt Nah. @Gerindra min tolong di cabut atuh etilang bapak saya. Janji deh sekeluarga nanti nyoblos capres dari gerindra;
227;Mba di situ ada camera iya lambaikan tangan dulu. Sip anda kena etilang.;
228;Budaya kita budaya kita. Temen lu noh minjem motor kena etilang.;
229;@arsul_sani @DivHumas_Polri @TMCPoldaMetro UU darurat pengancaman gimana?pernah kena etilang jg seharusnya stnk di frozen? melanggar lalin lawan arah?;
230;@goenawangn @Paltiwest Ada ancaman jg disitu barbuk video udh bertebaran.Apalagi penghancuran barang melanggar lalin pernah kena etilang @DivHumas_Polri bisa jawab?;
231;@ObiWan_Catnobi Ya tinggal bikin peraturan stiker RFID ukurannya harus besar dan warnanya mencolok serta harus dipajang di muka motor yang kelihatan (seperti di atas lampu atau di bawah pelat nomor) kalau bisa dibikin glow in the dark. Yang ngga pake stiker ditilang manual atau eTilang.;
232;@krisjung5 Engga tapi hampirr makanya ini nepi dulu kalo kena kamera etilang ntar dapet notice suruh bayar denda;
233;semenjak pake etilang jalanan makin kacau;
234;"@TMCPoldaMetro permisi mau bertanya soalnya etilang. Saya kena etilang di daerah Jakarta. Dan sudah konfirmasi juga melalui website. Setelah itu tidak ada tgl sidang &amp; kode briva nya. Tidak ada konfirmasi sms/email juga";
235;@mufiedr_ @e100ss khusus peremoatan itu etilang gak berlaku;
236;Gaes tadi aku di berentiin sama polisi soalnya ga pake helm soalnya buru buru sodara ku mau lahiran Tris di potoin kena etilang yang;
237;@Bisniscom Inves eTilang harus dioptimalkan;
238;Cok ga due duit malah disurpres idamane arek arek gae etilang https://t.co/NGzzkATa9K;
239;@TMCPoldaMetro Pasang etilang aja pak di ujungnya;
240;Etilang asu 500 rb anjrotttt;
241;@MVRRFX @mager_jalan @txtdrjkt aowkaowk etilang aja suratnya ga kekirim ke rumah apalagi ini. jgn jgn kayak etilang juga pas perpanjang sim ditagih tunggakan erp;
242;@dezig @B2WIndonesia Sebenarnya kayak gini pasang etilang lgsg kena banyak nih;
243;wah asu etilang mang marake jengkel https://t.co/EBRzQL3zRv;
244;anjing etilang dendanya 500rb bgst mahal bgt;
245;@e100ss Seharusnya pak polisi tetap siaga di pos Juga di jalanan... Karene etilang belum semuanya ada di titik rawan.... Segera di tindak utk yg lepas nopol di blkg;
246;@brgjk Kmu saya etilang;
247;Ni klo polantasnya bener jalanin etilang pasti bakalan sejahtera dah yakin aku. Banyak kali klo serobot lampu merah ini jd bingung ntu fungsi kamera sebenarnya cmn buat CCTV doang ya bukan buat nilang..;
248;Solusi untuk Etilang Pembayaran bbm harus menggunakan Emoney berupa atm nah semua pelanggaran tilang kita itu dibayar melalui aplikasi yg sudah terhubung dgn atm tersebut. Nah jika limit pelanggaran tilang suda mencapi maksimal (contoh 1juta) masyarakat tidak bisa top up;
249;@PRFMnews @tmc_restabesbdg @AtcsBandung Di bandung tdk Etilang polisi tdk bs nilang manual. Tapi lampu merah tsb masuk ke https://t.co/IOx2A72OrA lampu merah terlama di indonesia;
250;@rendddzzzzz @bleurmoo setauku juga klo etilang itu bisa dibayar dimana aja kak (CMIIW) asalkan dapet kode BRIVA mau bayar lewat atm/ mbanking/ atau ke teller bank bisa kak.;
251;@rendddzzzzz @bleurmoo Halo kak untuk bayar etilangnya setauku pakai BRI nanti pakai kode BRIVA yang dikasih setelah kakaknya konfirmasi etilang di webistie ituu atau kalo mau pakai caraku juga bisa dibaca di threadku yah. Semoga membantu~;
252;@andiiwib Kak mohon maaf mau tanya kalo bayar etilang ituu gmna yaa soalnya saya baru dapettt nggak paham udah mau masuk web nya tapi eror terus;
253;@DivHumas_Polri Assalamualaikum pak mau tanyaaa saya dapet etilang tapi nggak ngertiii gmna bayarnya mau konfirmasi tapi web nyaaa eror terusss;
254;@nurwantp Berapa sudah anggaran yg dikeluarkan untuk perangkat etilang?;
255;@Irwan2yah1 @DivHumas_Polri @ListyoSigitP @polres_utara @CCICPolri Agat Etilang tidak salah alamat dan tepat sasaran. Penjualan motor bekas tidak sembarangan juga mobil disertai balik nama atas pemakai Ndan @ListyoSigitP.;
256;@Irwan2yah1 @DivHumas_Polri @ListyoSigitP @polres_utara Bukankah seperti ini yang diharap Ndan @ListyoSigitP dengan keputusannya @CCICPolri pun hanya diam melihat. Kalau memang dihilangkan tilang ditempat tingkatkan cctv untuk etilang dimana saja bukan hanya diperempatan yang bisa membaca retina mata dan mimik wajah.;
257;Etilang ga bisa diremehin gaes;
258;@teenagefantasi ga ada tp gtau si etilang disitu gmn;
259;@goyangdombreeat @CNNIndonesia ide brilian... kalau boleh usul juga: pelaksana konversinya ESEMKA group bonus motormu gak bakal kena etilang seumur hidup karena dapat langsung disematkan teknologi stealth.;
260;@lunaticlunatix @txtdrberseragam Gue berharap cepu ke etilang elektronik bisa dapat duit biar para perokok kena tilanh gue dapat duit;
261;@CNNIndonesia Yang dipermasalahkan pengendara bukan pada tilang manual atau etilang tapi keadilan dalam menilang pelanggar dan tidak adanya pungutan (rokok maupun uang);
262;@riesaenwan213 Kena ETILANG gak ya;
263;@CNNIndonesia Masyarakat yg lucu. Teriak2 korupsi teriak2 pungli mereka sendiri korupsi. Lawan arah pakai plat palsu (atau dicopot biar gk kena etilang) nerobos lampu merah itu juga bentuk korupsi.;
264;@RizalSenggek sejak etilang wo tambah wakeh ta curanmor;
265;@jogmfs Aku kmrn bayar seko toped nder lewat web e etilang kejaksaan buat bayar e. Udh dikasih kodenya kan?;
266;@ndagels @DivHumas_Polri pak Kirim Etilang ke Mobil ODOL karena membahayakan dan merusak jalan;
267;@bludercokro_ Garek ngnteni etilang e ae mbak hehe;
268;gile itu ada etilang daerah situ juga gak difungsiin buat kelompok Nusantara;
269;@Syarman59 Diluar konteks bang tapi ngomong2 dgn adanya Etilang yg bertujuan utk menekan angka pungli malah petugas pada banyak yg ngilang dipersimpangan kenapa ya?bukannya tetap lalin hrs dijaga diatur dan diperhatikan jika ada pengendara yg lama lantas?pengayomnya enak dpt gaji buta.;
270;Karena skrng polisi udh ngk bisa nilang ditempat kendaraan udh pada tertib di beberapa titik yang ada eTilang nya;
271;Etilang sdh berlaku utk menghilangkan pungli dilapangan namun bukan berarti petugas pada ngilang dibelikan perempatan? Harus tetap standby berjaga jika ada laka lantas mengatur lalin mengurai kemacetan. Kalo ga ada lagi jadi makan gaji buta dong.;
272;Dulu gak percaya ada etilang Akhirnya dapat juga kiriman surat cinta dari polda wkwk;
273;@eqyelroz @Heraloebss @ListyoSigitP Pernah kena tilang. Habis dibuatin surat tilang saya bilang mau bayar pakai etilang. Kata bapaknya ndak bisa. Lalu saya tanya nama beliau untuk mengkonfirmasi ke akun TMC Polda Metro Jaya. Eh langsung dibilang bisa.;
274;@FajrinaShahab biar bs byr etilang HHAHAHAHAHAHAHAHAHAHAHAHAH;
275;@billyoumarryme_ jol etilang;
276;@DwiGooners @YourHappines2 @balimoon88 @DesahAngin @fullmoonfolks wkwkwk tujuan cctv itu buat bukti di persidangan nanti makanya rekaman cctv etilang disebarkan di medsos. kalau mau bandingin apple to apple dong gmn si anda;
277;@Gank_Of_Petojo Gmn sih? Ga paham. Kalau naik kerena ga boleh foto2? Pelanggar bakal difoto kyk etilang gitu kah?;
278;@prompt_error404 @bmatana1 @kmzputra @gabisakalkulus @YourHappines2 @balimoon88 @DesahAngin @fullmoonfolks Kan etilang bisa dari hp petugas bisa jadi bukti pelanggaran;
279;Akibat dari Kapolri meniadakan tilang manual...... pelanggaran lalu lintas meningkat....di jln bnyak yg nga pake helem lalu lintas semaraut ...... masyarakat Indonesia belom sadar hukum dan nga takut ma etilang....;
280;@fajar_polenk @txtdrberseragam kena etilang gk y?;
281;-dips! Di lampu merah patung kuda ada camera etilang ga?;
282;@fdasmansyah @infobdg @txtdaribandung Imbas polisi ga boleh tilang ya begini ini. Etilang blm efektif bikin sim msh bisa nembak. Selesai sudah jalanan awut2an;
283;berkabar ya kalo ada yg kena etilang;
284;@ellatralalaa @IkfinaFahmawati @e100ss @infomjkt @mjktfess @samsatmjkt Etilang juga nih;
285;@ellatralalaa @IkfinaFahmawati @e100ss @infomjkt @mjktfess @samsatmjkt stnk karena etilang aja yg katanya 3hari kerja sampe sekarang udah 2minggu ga dateng dateng;
286;He -rek duwe foto sing motor ketilang tapi lagi cul2an tangan 2 ambe nge fagyu etilang e gak nek onok drop dong;
287;WASPADA MODUS PENIPUAN ETLE ETILANG https://t.co/cpq90PTby4 lewat @YouTube;
288;Jangan sampe dikirim etilang keruma;
289;Cek gk knek etilang https://t.co/likafzX4G4;
290;@TopiqHdyt Mau kena etilang u;
291;@ARSIPAJA @TMCPoldaMetro @DivHumas_Polri Lampu merah ko ditrobos bisa ga nih klo di etilang sepeda nanti suratnya kirim kmn tuh kira2?;
292;First time dapet etilang jadi waswas soalnya w kalau lewat ronggowasito selalu nrabas lampu;
293;Bawa motor sambil merokok atau HPan kalau ketemu mereka di jalan berasa ketemu teroris krn sangat membahayakan. Sialnya yg kyk gitu sering banget ane temui. Semoga di Surabaya masif jg yg kena etilang krn pelanggaran itu.;
294;Hari ini ngakakin videonya sejeong kontul sama video2 pak pol etilang manual jd fotografer pake hp;
295;@sabbynaz Disitu emang udah mulai lumayan teges sab. Banyak yg udah dapet etilang;
296;@Yan66348255 @kang_kasur @istringstream @secgron Iyah bang paham kalo potensi plat palsu di etilang itu. Cuma maksudnya ini lagi bahas spesifik ke etilang dengan face recognition bukan etilang biasa yg pake plat. Jadi balasan bukan di kualitas kamera sih tapi blabla itu ga relevant. Maksudnya gt;
297;Ini beneran nanya krn gak tau skrg kan adanya etilang ya. Jdi misal ada orang yg gk punya sim jadi aman gak sih?;
298;Cara Mengecek Status eTilang Jika Anda Melakukan Pelanggaran Lalu Lintas Muncul Tulisan Berikut https://t.co/Q5OOzwpiZy;
299;@IndiHomeJBN Wah setuju eTilang @IndiHomeJBN;
300;@Ara_Evaendy @SapawargaSby @e100ss Apakah nantinya etilang berlaku di sepanjang jalan ini apalagi jika ada rambu dilarang parkir;
301;Skrg dilarang tilang manual karna ada etilang. *masyarakat lepasin Plat/Nomor kendaraan Tak terduga;
302;@_jafarsodiq @azharazziz Ini point ku sih terlepas dr etilang tanpa kamera jg harus belajar tertib tp pulici jg harus kasi tau dimana letak etilang biar kita bs lebih aware ayoo zhar demo minta list titik etilang;
303;@andraonseven @dikanchut @Joelboom3 @txtdrpemerintah sumber penyebab utama knp masy gk patuh ya karena uji sim nya bobrok. kalo cm make etilang ya gk menghilangkan penyebab dan cm menyingkirkan gejala. ibarat sakit gigi cm dikasih paracetamol biar gk nyeri. klo paracetamol abis ya gigi nya nyeri lagi wong kudu dicabut giginya;
304;@azharazziz Oh gituu skrng balik lg ke realita nya udh ada belum dijalan desa? Dikota aja etilang belum menyeluruh terlepas dr dimana etilang ada kalo gamau d tilang tertib lalu lintas aja.. topiknya kan bahas berita diatas soal warga yg lepas nopol;
305;@Dadang_Ewp @bobbykristya Nggak bro. Cek mandiri via web etilang. Nanti dicari pakai code/nomor tilangnya;
306;keknya bakal kena etilang nih;
307;Kok sampe skg cek nomor blangko di etilang belum ditemukan ya??;
308;@myXL simcard baru saya mulai aktif 4okt2022. Tp inbox sms sy sdh mendptkan sms dr @ovo_id 5Sept2021 dan Etilang 24Mar2021. Mhn klarifikasi knp XL tidak melakukan pembersihan data ke seluruh pihak terkait jika menjual kembali simcard expired?;
309;@memefess F30 320i emg agak lambat tp ini mah ngebut takut kena etilang;
310;@ryanhananta Ternyata tiap kota bedaÂ² mas belum semuanya nerapin etilang kemaren sengaja milih kantor pos krn bisa bayar pake qris wkwk;
311;Ndes cara ngecek kita kena etilang atau engga ki ng ndi to? Jaga-jaga surat cintane dikirim ke rumah soale posisi stnk atas nama ibuku;
312;@Askrlfess Emang udah peraturan baru ygy. Biar kl difoto etilang lebih mudah dibaca. Semua kendaraan yg per tahun ini perpanjang 5 tahun bakal diganti plat putih. Dah ga item lagi.;
313;@Askrlfess Iya diganti plat putih semua. Biar pas di foto pas etilang plat kendaraan mu jelas;
314;@ezash Kalo kena etilang keliatan lebih jelas;
315;buat pulici yg duduk standby buat ngefoto fotoin etilang saya doain bapak kefoto balik pas ngga pake helm~;
316;barusan kena etilang yang hasil foto tilang nya kek di foto pake kamera hape dari belakang itu pulici cita citanya jadi fotografer apa yak~;
317;@zZulfan Rapopo dudu difoto etilang kok;
318;Apa apaan ada etilang sekitar kampus;
319;min @infomalang takok iki mobil wes tak lapor jual 2019 di samsat kacuk kok iso wingi aku oleh surat etilang dengan nama pemilik ga berubah tapi nomer kendaraan e ganti? Atau mungkin follower tau kenapa? (Plat nomor tak sensor) https://t.co/mirYGnSKI0;
320;@pshfly3424 Bener apalagi kalo pake etilang aku gak perlu repot dateng sidang tinggal bayar dan beres STNK dikirim ke rumah;
321;Beli mobil seken pas mau balik nama suruh bayar dulu etilang pemilik lama hmm https://t.co/o7Y5ZO2VeE;
322;Sahabat polri kalau misalnya kna Etilang pake beking ga ?;
323;@propaganda_99 Etilang atau wanipiro;
324;@alvinlie21 @PTJASAMARGA @official_PTJTT fungsi CCTV : etilang max speed;
325;keblokir. pasti etilang. ehee~;
326;Ini loophole parah lebih kasian yg motornya udah dijual sampe ke tangan ke 3 tapi gk dibalik nama pemilik pertamanya bingung kena etilang terus;
327;@RizkyESubagja @PRFMnews @txtdaribandung Sosoan ngurusin data ga berguna surat etilang aja nyasar gegara plat palsu Tolol;
328;@alfarabi_alva Etilang sangat rawan manipulasi;
329;@RizkyESubagja @biolahitam @PRFMnews @txtdaribandung Gue juga pernah dapet etilang. Guenya di Solo eh pelanggarannya foto Selasa siang di Purworejo. Gue gak pernah ke Purworejo.;
330;@RizkyESubagja @PRFMnews @txtdaribandung Bukti belum bisa tepat sasaran nya etilang. Krn di lapangan. Banyak kasus kayak gini. Identitas plat berbeda sama identitas motor;
331;Dari awal etle etlean ini yang kepikiran ya soal alamat pengiriman surat etilang ini lah wong beli motor dari siapa tau juga gak langsung balik nama ckckck. Ngelanggar di Yojo surat etilang dikirim ke Lamongan;
332;@Askrlfess Nanti kena etilang yg bayar ente;
333;bukti kalo etilang belum siap diterapkan di negara yang apa apa harus fotocopy KTP dulu;
334;"@RizkyESubagja @PRFMnews @txtdaribandung @DivHumas_Polri makanya pak eTilang itu belum siap diterapkan. Beresiko besar error in persona &amp; error in objecto.";
335;sekitaran semarang daerah mana aja ya yg banyak polisi + etilang -dips! mau masang knalpot racing lgi biar ga ngantuk soalnya sekarang dibalikin ke standar;
336;@greencrocodilen @e100ss Polantas kita udah pada malas kerja. Lebih baik main scatter. Kan udah ada eTilang. Kalau komandan butuh duit baru kita operasi.;
337;@Unsoedfess1963 ada etilang keknya;
338;@DivHumas_Polri min kenapa ya saya gabisa bayar denda di etilang dari kemaren.;
339;Ada etilang terkirim ke rmh saya.. Padahal mobil sdh dijual dan sdh lapor jual.. Bagaimana ya? @e100ss apa yg harus dilakukan?;
340;ndes ono seng tau keno etilang rakk;
341;males etilang gabisa di suap padahalkan gua pengen latihan jadi koruptor;
342;@TMCPoldaMetro Lampu merah dimana etilang hanya prank belaka;
343;@KejaksaanRI halo min saya mau bayar etilang dari kemarin (sudah dicoba pake bank BRI dan bank lainnya) tetapi nomor BRIVA saya dianggap tidak valid. mohon arahannga karena besok sudah harus ambil STNK ke kejaksaan. saya gamau denda lg kalau yang bermasalah itu bukan dari saya.;
344;"@_mardial_ Mau cerita sedikit bang pas kemarin sarapan di deket Polsek. Ada ibuÂ² tanya ke polisi cara urus pembayaran etilang. Pas dikasih liat etilangnya pak polisi ini kaget wkwkwk kok bisa dapat etilang yo pdhl gowo helm kabeh Polisi iki ada sedikit banget yg baik &amp; bnyk bgt yg jahat";
345;Belakangan ini jalur motor ku melewati lampu merah yang ada cctv etilang. Terus tadi ada 2 motor yang terobos lampu merah dan blitznya nyala di setiap motor. Tapi pas udah lampu ijo kenapa blitznya berulang-ulang ya? Kan bikin cemas.;
346;@wasawirman Niatnya biar kebaca kamera etilang. Tapi kalau catnya gk rapih gini ya pusing jg itu aplikasinya.;
347;@radixwp @nekrotizedd @ocee_me08 Laah emang etilang sekarang ditilang SIM nya? Hahahaha... Semakin membuat Lo bodoh liberal kampung... Hahaha. Udah lah. Mending Lo banyakin literasi baru mention gw. Kalau ga kita meet up diskusi offline. Gw di Jakarta Lo tentuin tempatnya.;
348;@radixwp @ocee_me08 Oon Lo memandang hukum kayak gitu. Lo juga ga bayar pajak juga ga di tangkap. Gw di etilang sampai sekarang ga diurus juga ga apa masih bawa mobil bebas. Ah Lo piyik cara befikit Lo. Pantes atheis sama sekular. Lo mau dibegoin sama atheis;
